PRI Local bodies of Maharashtra (State Code: 27) State,,,,,,,
S.No.,Localbody Type Code,Localbody Type Name,Localbody Code,Localbody Version,Localbody Name (In English),Localbody Name (In Local),Parent Localbody Code
97,2,Block Panchayat,4661,1,Chandur Bz,चांदुर बाजार,426
98,2,Block Panchayat,4660,1,Chandur Ril,चांदुर रेल्वे,426
99,2,Block Panchayat,4835,1,Chandwad,चांदवड,443
100,2,Block Panchayat,4670,2,Chhatrapati Sambhajinagar,छत्रपती संभाजीनगर,427
101,2,Block Panchayat,4662,1,Chikhaldara,चिखलदरा,426
102,2,Block Panchayat,4698,1,Chikhli,चिखली,430
103,2,Block Panchayat,4714,1,Chimur,चिमूर,431
104,2,Block Panchayat,4895,1,Chipalun,चिपळूण,448
105,2,Block Panchayat,4759,1,Chopda,चोपडा,436
106,2,Block Panchayat,4946,2,Dahanu,डहाणू,261449
107,2,Block Panchayat,4896,1,Dapoli,दापोली,448
108,2,Block Panchayat,4973,1,Darwha,धारवा,456
109,2,Block Panchayat,4663,1,Daryapur,दर्यापुर,426
110,2,Block Panchayat,4869,1,Daund,दौंड,446
111,2,Block Panchayat,4815,1,Deglur,देगलूर,441
112,2,Block Panchayat,4925,1,Deogad,देवगड,451
113,2,Block Panchayat,4836,1,Deola,देवळा,443
114,2,Block Panchayat,4959,1,Deoli,देवळी,454
115,2,Block Panchayat,4792,1,Deoni,देवनी,439
116,2,Block Panchayat,4743,1,Deori,देवरी,434
117,2,Block Panchayat,4733,1,Desaiganj (Wadsa),देसाईगंज (वडसा),433
118,2,Block Panchayat,4664,1,Dhamangaon Ril,धामनगाव रेल्वे,426
119,2,Block Panchayat,4734,1,Dhanora,धानोरा,433
120,2,Block Panchayat,4760,1,Dharangaon,धरणगाव,436
121,2,Block Panchayat,4853,2,Dharashiv,धाराशिव,444
122,2,Block Panchayat,4816,1,Dharmabad,धर्माबार,441
123,2,Block Panchayat,4665,1,Dharni,धारनी,426
124,2,Block Panchayat,4682,1,Dharur,धारूर,428
125,2,Block Panchayat,4725,1,Dhule,धुळे,432
126,2,Block Panchayat,4974,1,Digras,दिग्रस,456
127,2,Block Panchayat,4837,1,Dindori,दिंडोरी,443
128,2,Block Panchayat,4926,1,Dodamarg,दोडामार्ग,451
129,2,Block Panchayat,4699,1,D. Raja,देउळगाव राजा,430
130,2,Block Panchayat,4761,1,Erandol,एरंडोल,436
131,2,Block Panchayat,4735,1,Etapalli,इतापल्ली,433
132,2,Block Panchayat,4736,1,Gadchiroli,गडचिरोली,433
133,2,Block Panchayat,4781,1,Gadhinglaj,गडहिंग्लज,438
134,2,Block Panchayat,4778,1,Gagan Bavada,गगन बावडा,438
135,2,Block Panchayat,4857,1,Gangakhed,गंगाखेड,445
136,2,Block Panchayat,4671,1,Gangapur,गंगापूर,427
137,2,Block Panchayat,4683,1,Georai,गेवराई,428
138,2,Block Panchayat,4772,1,Ghansawangi,घनसावंगी,437
139,2,Block Panchayat,4975,1,Ghatanji,घट्नजी,456
140,2,Block Panchayat,4744,1,Gondia,गोंदिया,434
141,2,Block Panchayat,4715,1,Gondpipri,गोंडपिंपरी,431
142,2,Block Panchayat,4745,1,Goregaon,गोरेगाव,434
143,2,Block Panchayat,4897,1,Guhagar,गुहाघर,448
144,2,Block Panchayat,4817,1,Hadgaon,हदगाव,441
145,2,Block Panchayat,4782,1,Hatkanangale,हातकणंगले,438
146,2,Block Panchayat,4870,1,Haveli,हवेली,446
147,2,Block Panchayat,4818,1,Himayatnagar,हिमायतनगर,441
148,2,Block Panchayat,4960,1,Hinganghat,हिंगणघाट,454
149,2,Block Panchayat,4800,1,Hingna,हिंगणा,440
150,2,Block Panchayat,4751,1,Hingoli,हिंगोली,435
151,2,Block Panchayat,4838,1,Igatpuri,इगतपुरी,443
152,2,Block Panchayat,4871,1,Indapur,इंदापूर,446
153,2,Block Panchayat,4773,1,Jafrabad,जाफराबाद,437
154,2,Block Panchayat,4762,1,Jalgaon,जळगाव,436
155,2,Block Panchayat,4700,1,Jalgaonjamod,जळगाव जामोद,430
156,2,Block Panchayat,4793,1,Jalkot,जलकोट,439
157,2,Block Panchayat,4774,1,Jalna,जालना,437
158,2,Block Panchayat,4636,1,Jamkhed,जामखेड,424
159,2,Block Panchayat,4763,1,Jamner,जामनेर,436
160,2,Block Panchayat,4905,1,Jath,जत,449
161,2,Block Panchayat,4914,1,Jawali,जावली,450
162,2,Block Panchayat,4947,2,Jawhar,जव्हार,261449
163,2,Block Panchayat,4858,1,Jintur,जिंतुर,445
164,2,Block Panchayat,4716,1,Jiwati,जिवती,431
165,2,Block Panchayat,4872,1,Junnar,जुन्नर,446
166,2,Block Panchayat,4906,1,Kadegaon,कडेगाव,449
167,2,Block Panchayat,4783,1,Kagal,कागल,438
168,2,Block Panchayat,4684,1,Kaij,कैज,428
169,2,Block Panchayat,4850,1,Kalamb,कळंब,444
170,2,Block Panchayat,4976,1,Kalamb,कळंब,456
171,2,Block Panchayat,4752,1,Kalamnuri,कळमनुरी,435
172,2,Block Panchayat,4801,1,Kalmeshwar,कळमेश्वर,440
173,2,Block Panchayat,4839,1,Kalwan,कळवण,443
174,2,Block Panchayat,4948,2,Kalyan,कल्याण,453
175,2,Block Panchayat,4802,1,Kamptee,कामठी,440
176,2,Block Panchayat,4672,1,Kanand,कन्नड,427
177,2,Block Panchayat,4819,1,Kandhar,कंधार,441
178,2,Block Panchayat,4927,1,Kankavali,कणकवली,451
179,2,Block Panchayat,4915,1,Karad,कराड,450
180,2,Block Panchayat,4961,1,Karanja,कारंजा,454
181,2,Block Panchayat,4965,1,Karanja,कारंजा,455
182,2,Block Panchayat,4637,1,Karjat,कर्जत,424
183,2,Block Panchayat,4881,1,Karjat,कर्जत,447
184,2,Block Panchayat,4935,1,Karmala,करमाळा,452
185,2,Block Panchayat,4784,1,Karveer,करवीर,438
186,2,Block Panchayat,4803,1,Katol,काटोल,440
187,2,Block Panchayat,4907,1,Kavathemahankal,कवठेमहांकाळ,449
188,2,Block Panchayat,4977,1,Kelapur,केलापूर,456
189,2,Block Panchayat,4882,1,Khalapur,खालापूर,447
190,2,Block Panchayat,4701,1,Khamgaon,खामगाव,430
191,2,Block Panchayat,4908,1,Khanapur-Vita,खानापूरविटा,449
192,2,Block Panchayat,4916,2,Khandala,खंडाळा,450
193,2,Block Panchayat,4917,2,Khatav,खटाव,450
194,2,Block Panchayat,4873,1,Khed,खेड,446
195,2,Block Panchayat,4898,1,Khed,खेड,448
196,2,Block Panchayat,4673,1,Khultabad,खुल्ताबाद,427
197,2,Block Panchayat,4820,1,Kinwat,किनवत,441
198,2,Block Panchayat,4638,1,Kopargaon,कोपरगाव,424
